Latitude,Longitude,Activations
39.044,-94.562,2
39.039,-94.551,4
39.057,-94.578,1
39.041,-94.565,2
39.061,-94.571,1
39.041,-94.558,2
39.036,-94.551,1
39.040,-94.569,3
39.060,-94.572,2
39.058,-94.564,6
39.049,-94.553,8
39.041,-94.561,2
39.055,-94.568,3
39.067,-94.574,1
39.054,-94.575,1
39.059,-94.571,1
39.040,-94.561,4
39.039,-94.569,6
39.064,-94.575,1
39.071,-94.567,1
39.058,-94.545,2
39.070,-94.566,2
39.043,-94.570,1
39.059,-94.574,1
39.050,-94.576,2
39.044,-94.575,1
39.050,-94.572,1
39.042,-94.563,1
39.065,-94.564,1
39.037,-94.572,1
39.038,-94.570,1
39.046,-94.573,2
39.044,-94.559,3
39.041,-94.563,1
39.067,-94.560,1
39.055,-94.569,2
39.041,-94.564,3
39.043,-94.574,1
39.050,-94.571,2
39.070,-94.572,1
39.068,-94.565,1
39.045,-94.562,1
39.050,-94.575,1
39.052,-94.574,1
39.055,-94.577,2
39.071,-94.555,2
39.057,-94.577,1
39.035,-94.568,3
39.053,-94.576,1
39.066,-94.560,1
39.055,-94.570,1
39.053,-94.578,1
39.057,-94.572,1
39.067,-94.568,1
39.067,-94.573,1
39.046,-94.577,1
39.039,-94.567,1
39.059,-94.573,1
39.037,-94.574,1
39.072,-94.555,1
39.058,-94.569,1
